timestamp,yes,no
2024-10-09 00:00:02,0.185,0.815
2024-10-10 00:00:02,0.17,0.83
2024-10-11 00:00:03,0.165,0.835
2024-10-12 00:00:02,0.155,0.845
2024-10-13 00:00:03,0.155,0.845
2024-10-14 00:00:02,0.14,0.86
2024-10-15 00:00:02,0.15,0.85
2024-10-16 00:00:03,0.125,0.875
2024-10-17 00:00:02,0.095,0.905
2024-10-18 00:00:02,0.1,0.9
2024-10-19 00:00:02,0.1,0.9
2024-10-20 00:00:02,0.1,0.9
2024-10-21 00:00:02,0.1,0.9
2024-10-22 00:00:02,0.09,0.91
2024-10-23 00:00:02,0.09,0.91
2024-10-24 00:00:03,0.255,0.745
2024-10-25 00:00:03,0.155,0.845
2024-10-26 00:00:03,0.155,0.845
2024-10-27 00:00:03,0.12,0.88
2024-10-28 00:00:03,0.135,0.865
2024-10-29 00:00:02,0.12,0.88
2024-10-30 00:00:03,0.12,0.88
2024-10-31 00:00:03,0.13,0.87
2024-11-01 00:00:03,0.12,0.88
