timestamp,yes,no
2025-01-14 00:00:03,0.15,0.85
2025-01-15 00:00:03,0.15,0.85
2025-01-16 00:00:04,0.16,0.84
2025-01-17 00:00:04,0.16,0.84
2025-01-18 00:00:04,0.16,0.84
2025-01-19 00:00:04,0.155,0.845
2025-01-20 00:00:04,0.155,0.845
2025-01-21 00:00:03,0.155,0.845
2025-01-22 00:00:03,0.145,0.855
2025-01-23 00:00:04,0.15,0.85
2025-01-24 00:00:03,0.155,0.845
2025-01-25 00:00:05,0.15,0.85
2025-01-26 00:00:04,0.15,0.85
2025-01-27 00:00:04,0.15,0.85
2025-01-28 00:00:04,0.15,0.85
2025-01-29 00:00:04,0.15,0.85
2025-01-30 00:00:05,0.205,0.795
2025-01-31 00:00:04,0.225,0.775
2025-02-01 00:00:05,0.19,0.81
2025-02-02 00:00:04,0.205,0.795
2025-02-03 00:00:05,0.2,0.8
2025-02-04 00:00:04,0.2,0.8
2025-02-05 00:00:04,0.2,0.8
2025-02-06 00:00:05,0.2,0.8
2025-02-07 00:00:04,0.2,0.8
