timestamp,yes,no
2025-07-26 00:00:09,0.42,0.58
2025-07-27 00:00:10,0.235,0.765
2025-07-28 00:00:09,0.135,0.865
2025-07-29 00:00:10,0.18,0.82
2025-07-30 00:00:10,0.16,0.84
2025-07-31 00:00:08,0.12,0.88
2025-08-01 00:00:09,0.105,0.895
2025-08-02 00:00:09,0.12,0.88
2025-08-03 00:00:08,0.15,0.85
2025-08-04 00:00:07,0.08,0.92
2025-08-05 00:00:08,0.08,0.92
2025-08-06 00:00:09,0.08,0.92
2025-08-07 00:00:11,0.08,
2025-08-08 00:00:08,0.08,
2025-08-09 00:00:07,0.075,
2025-08-10 00:00:04,0.075,
2025-08-11 00:00:10,0.075,
2025-08-12 00:00:05,0.085,
2025-08-13 00:00:08,0.09,
2025-08-14 00:00:06,0.09,
2025-08-15 00:00:10,0.09,
2025-08-16 00:00:10,0.09,
2025-08-17 00:00:08,0.09,
2025-08-18 00:00:06,0.09,
2025-08-19 00:00:12,0.09,
2025-08-20 00:00:03,0.09,0.91
2025-08-21 00:00:10,0.09,
2025-08-22 00:00:10,0.09,
2025-08-23 00:00:12,0.09,
2025-08-24 00:00:04,0.1,
2025-08-25 00:00:04,0.1,
2025-08-26 00:00:08,0.1,
2025-08-27 00:00:06,0.1,0.9
2025-08-28 00:00:06,0.1,
2025-08-29 00:00:04,0.1,
2025-08-30 00:00:08,0.1,
2025-08-31 00:00:04,0.1,
2025-09-01 00:00:13,0.095,
2025-09-02 00:00:13,0.095,
2025-09-03 00:00:12,0.1,
2025-09-04 00:00:05,0.095,
2025-09-05 00:00:07,0.185,
2025-09-06 00:00:10,0.11,
2025-09-07 00:00:08,0.11,
2025-09-08 00:00:13,0.11,
2025-09-09 00:00:04,0.11,
2025-09-10 00:00:04,0.11,
2025-09-11 00:00:08,0.11,
2025-09-12 00:00:09,0.11,
2025-09-13 00:00:13,0.115,
2025-09-14 00:00:06,0.115,
2025-09-15 00:00:06,0.115,
2025-09-16 00:00:17,0.115,
2025-09-17 00:00:16,0.115,
2025-09-18 00:00:10,0.11,
2025-09-19 00:00:08,0.115,0.885
2025-09-20 00:00:17,0.11,
2025-09-21 00:00:07,0.11,
2025-09-22 00:00:04,0.11,
2025-09-23 00:00:04,0.11,
2025-09-24 00:00:10,0.11,0.89
2025-09-25 00:00:08,0.11,0.89
2025-09-26 00:00:04,0.1,
2025-09-27 00:00:10,0.09,
2025-09-28 00:00:14,0.085,
2025-09-29 00:00:05,0.085,
2025-09-30 00:00:03,0.085,0.915
2025-10-01 00:00:02,0.085,
2025-10-02 00:00:06,0.085,
2025-10-03 00:00:08,0.08,
2025-10-04 00:00:07,0.095,0.905
2025-10-05 00:00:04,0.095,
2025-10-06 00:00:09,0.09,
2025-10-07 00:00:08,0.105,
2025-10-08 00:00:05,0.105,
2025-10-09 00:00:03,0.1,
2025-10-10 00:00:06,0.1,
2025-10-11 00:00:11,0.13,
2025-10-12 00:00:02,0.235,
2025-10-13 00:00:13,0.135,
2025-10-14 00:00:03,0.145,
2025-10-15 00:00:13,0.135,0.865
2025-10-16 00:00:16,0.125,
2025-10-17 00:00:06,0.13,
2025-10-18 00:00:14,0.13,
2025-10-19 00:00:13,0.135,
2025-10-20 00:00:19,0.115,
2025-10-21 00:00:10,0.105,
2025-10-22 00:00:20,0.105,
2025-10-23 00:00:10,0.105,
2025-10-24 00:00:16,0.105,
2025-10-25 00:00:15,0.12,
2025-10-26 00:00:18,0.135,
2025-10-26 16:35:13,0.135,
