timestamp,yes,no
2025-08-16 00:00:04,0.59,
2025-08-17 00:00:14,0.565,
2025-08-18 00:00:09,0.74,
2025-08-19 00:00:16,0.745,
2025-08-20 00:00:07,0.69,
2025-08-21 00:00:07,0.54,
2025-08-22 00:00:02,0.405,
2025-08-23 00:00:13,0.375,
2025-08-24 00:00:06,0.355,
2025-08-25 00:00:06,0.36,
2025-08-26 00:00:08,0.365,
2025-08-27 00:00:13,0.32,
2025-08-28 00:00:02,0.305,
2025-08-29 00:00:11,0.29,
2025-08-30 00:00:08,0.275,
2025-08-31 00:00:06,0.29,
2025-09-01 00:00:13,0.27,
2025-09-02 00:00:13,0.27,
2025-09-03 00:00:07,0.23,
2025-09-04 00:00:09,0.235,
2025-09-05 00:00:09,0.235,
2025-09-06 00:00:06,0.265,0.735
2025-09-07 00:00:14,0.25,
2025-09-08 00:00:12,0.28,
2025-09-09 00:00:05,0.24,
2025-09-10 00:00:09,0.23,
2025-09-11 00:00:13,0.24,
2025-09-12 00:00:16,0.235,
2025-09-13 00:00:04,0.38,
2025-09-14 00:00:18,0.31,
2025-09-15 00:00:05,0.29,
2025-09-16 00:00:24,0.29,
2025-09-17 00:00:20,0.32,
2025-09-18 00:00:15,0.315,
2025-09-19 00:00:05,0.295,
2025-09-20 00:00:14,0.29,
2025-09-21 00:00:06,0.28,
2025-09-22 00:00:09,0.28,
2025-09-23 00:00:05,0.295,
2025-09-24 00:00:16,0.29,
2025-09-25 00:00:08,0.295,
2025-09-26 00:00:13,0.305,
2025-09-27 00:00:08,0.375,
2025-09-28 00:00:10,0.31,
2025-09-29 00:00:03,0.295,
2025-09-30 00:00:11,0.275,
2025-10-01 00:00:08,0.225,
2025-10-02 00:00:08,0.345,
2025-10-03 00:00:10,0.325,
2025-10-04 00:00:05,0.355,
2025-10-05 00:00:09,0.335,
2025-10-06 00:00:09,0.325,
2025-10-07 00:00:11,0.245,
2025-10-08 00:00:12,0.21,
2025-10-09 00:00:12,0.205,
2025-10-10 00:00:07,0.22,
2025-10-11 00:00:04,0.225,
2025-10-12 00:00:13,0.225,
2025-10-13 00:00:08,0.22,
2025-10-14 00:00:08,0.205,
2025-10-15 00:00:12,0.185,
2025-10-16 00:00:08,0.175,
2025-10-17 00:00:11,0.825,
2025-10-18 00:00:19,0.825,
2025-10-19 00:00:15,0.855,0.145
2025-10-20 00:00:03,0.84,0.16
2025-10-21 00:00:15,0.845,0.155
2025-10-22 00:00:23,0.535,
2025-10-23 00:00:12,0.285,
2025-10-23 12:48:06,0.315,
