timestamp,yes,no
2025-05-26 00:00:07,0.08,0.92
2025-05-27 00:00:06,0.026,0.974
2025-05-28 00:00:06,0.0105,0.9895
2025-05-29 00:00:07,0.01,0.99
2025-05-30 00:00:07,0.0125,0.9875
2025-05-31 00:00:07,0.0125,0.9875
2025-06-01 00:00:07,0.0125,0.9875
2025-06-02 00:00:06,0.0075,0.9925
2025-06-03 00:00:07,0.007,0.993
2025-06-04 00:00:06,0.0075,0.9925
2025-06-05 00:00:06,0.006,0.994
2025-06-06 00:00:06,0.006,0.994
2025-06-07 00:00:07,0.006,0.994
2025-06-08 00:00:07,0.006,0.994
2025-06-09 00:00:07,0.006,0.994
2025-06-10 00:00:06,0.006,0.994
2025-06-11 00:00:07,0.0065,0.9935
2025-06-12 00:00:07,0.007,0.993
2025-06-13 00:00:07,0.007,0.993
2025-06-14 00:00:08,0.0065,0.9935
2025-06-15 00:00:08,0.006,0.994
2025-06-16 00:00:07,0.005,0.995
2025-06-17 00:00:08,0.005,0.995
2025-06-18 00:00:08,0.005,0.995
2025-06-19 00:00:07,0.005,0.995
2025-06-20 00:00:08,0.005,0.995
2025-06-21 00:00:08,0.005,0.995
2025-06-22 00:00:06,0.005,0.995
2025-06-23 00:00:07,0.0045,0.9955
2025-06-24 00:00:07,0.0045,0.9955
2025-06-25 00:00:07,0.0075,0.9925
2025-06-26 00:00:08,0.0075,0.9925
2025-06-27 00:00:07,0.007,0.993
2025-06-28 00:00:07,0.011,0.989
2025-06-29 00:00:08,0.011,0.989
2025-06-30 00:00:07,0.011,0.989
2025-07-01 00:00:08,0.011,0.989
2025-07-02 00:00:07,0.0105,0.9895
2025-07-03 00:00:08,0.0085,0.9915
2025-07-04 00:00:08,0.0065,0.9935
2025-07-05 00:00:08,0.0095,0.9905
2025-07-06 00:00:07,0.0095,0.9905
2025-07-07 00:00:07,0.0095,0.9905
2025-07-08 00:00:08,0.0095,0.9905
2025-07-09 00:00:07,0.0095,0.9905
2025-07-10 00:00:08,0.0095,0.9905
2025-07-11 00:00:08,0.0095,0.9905
2025-07-12 00:00:09,0.0095,0.9905
2025-07-13 00:00:08,0.097,0.903
2025-07-14 00:00:07,0.008,0.992
2025-07-15 00:00:08,0.007,0.993
2025-07-16 00:00:08,0.017,0.983
2025-07-17 00:00:08,0.0095,0.9905
2025-07-18 00:00:08,0.01,0.99
2025-07-19 00:00:09,0.023,0.977
2025-07-20 00:00:08,0.019,0.981
2025-07-21 00:00:07,0.0095,0.9905
2025-07-22 00:00:09,0.022,0.978
2025-07-23 00:00:09,0.013,0.987
2025-07-24 00:00:09,0.011,0.989
2025-07-25 00:00:09,0.0135,0.9865
2025-07-26 00:00:09,0.0105,0.9895
2025-07-27 00:00:10,0.01,0.99
2025-07-28 00:00:09,0.0115,0.9885
2025-07-29 00:00:10,0.013,0.987
2025-07-30 00:00:10,0.038,0.962
2025-07-31 00:00:08,0.0375,0.9625
2025-08-01 00:00:09,0.07,0.93
2025-08-02 00:00:09,0.022,0.978
2025-08-03 00:00:08,0.0275,0.9725
2025-08-04 00:00:07,0.021,0.979
2025-08-05 00:00:08,0.03,0.97
2025-08-06 00:00:09,0.0125,0.9875
2025-08-07 00:00:06,0.0245,
2025-08-08 00:00:10,0.029,
2025-08-09 00:00:08,0.026,
2025-08-10 00:00:04,0.017,
2025-08-11 00:00:07,0.0285,
2025-08-12 00:00:08,0.021,
2025-08-13 00:00:05,0.025,
2025-08-14 00:00:05,0.0145,0.9855
2025-08-15 00:00:11,0.013,
2025-08-16 00:00:02,0.025,0.975
2025-08-17 00:00:14,0.023,
2025-08-18 00:00:09,0.023,
2025-08-19 00:00:13,0.023,
2025-08-20 00:00:08,0.017,0.983
2025-08-21 00:00:06,0.0175,0.9825
2025-08-22 00:00:10,0.017,
2025-08-23 00:00:14,0.016,
2025-08-24 00:00:04,0.0165,
2025-08-25 00:00:12,0.018,0.982
2025-08-26 00:00:08,0.015,
2025-08-27 00:00:07,0.016,
2025-08-28 00:00:10,0.0135,
2025-08-29 00:00:05,0.008,
2025-08-30 00:00:06,0.0085,
2025-08-31 00:00:06,0.0045,
2025-09-01 00:00:10,0.0045,
2025-09-02 00:00:14,0.004,
2025-09-03 00:00:15,0.004,
2025-09-04 00:00:04,0.004,
2025-09-05 00:00:11,0.003,0.997
2025-09-06 00:00:21,0.0035,
2025-09-07 00:00:07,0.004,
2025-09-08 00:00:12,0.003,
2025-09-09 00:00:16,0.003,0.997
2025-09-10 00:00:09,0.003,
2025-09-11 00:00:11,0.0025,
2025-09-12 00:00:11,0.0025,
2025-09-13 00:00:09,0.0015,
2025-09-14 00:00:16,0.0015,
2025-09-15 00:00:07,0.0015,
2025-09-16 00:00:24,0.0015,
2025-09-17 00:00:06,0.0015,0.9985
2025-09-18 00:00:11,0.0015,
2025-09-19 00:00:14,0.0015,
2025-09-20 00:00:14,0.0015,
2025-09-21 00:00:07,0.0015,
2025-09-22 00:00:02,0.0015,
2025-09-23 00:00:07,0.0015,
2025-09-24 00:00:06,0.0005,
2025-09-25 00:00:03,0.0005,
2025-09-26 00:00:03,0.0005,
2025-09-27 00:00:08,0.0005,
2025-09-28 00:00:14,0.0005,
2025-09-29 00:00:05,0.0005,
2025-09-30 00:00:10,0.0005,
2025-10-01 00:00:06,0.0005,
2025-10-02 00:00:08,0.0005,
2025-10-03 00:00:06,0.0005,
2025-10-04 00:00:07,0.0005,
2025-10-05 00:00:07,0.0005,0.9995
2025-10-06 00:00:04,0.0005,
2025-10-07 00:00:04,0.0005,
2025-10-08 00:00:06,0.0005,
2025-10-09 00:00:11,0.0005,
2025-10-10 00:00:16,0.0005,
2025-10-11 00:00:09,0.0005,
2025-10-12 00:00:07,0.0005,
2025-10-13 00:00:05,0.0005,
2025-10-14 00:00:16,0.0005,
2025-10-15 00:00:12,0.0005,
2025-10-16 00:00:12,0.0005,0.9995
2025-10-17 00:00:06,0.0005,
2025-10-18 00:00:16,0.0005,
2025-10-19 00:00:16,0.0005,
2025-10-20 00:00:14,0.0005,
2025-10-21 00:00:20,0.0005,
2025-10-22 00:00:10,0.0005,
2025-10-23 00:00:07,0.0005,
2025-10-23 11:53:04,0.0005,0.9995
