timestamp,yes,no
2024-05-03 00:00:03,0.0155,0.9845
2024-05-04 00:00:03,0.011,0.989
2024-05-05 00:00:03,0.011,0.989
2024-05-06 00:00:02,0.0125,0.9875
2024-05-07 00:00:02,0.0125,0.9875
2024-05-08 00:00:03,0.0125,0.9875
2024-05-09 00:00:03,0.0125,0.9875
2024-05-10 00:00:03,0.0125,0.9875
2024-05-11 00:00:04,0.014,0.986
2024-05-12 00:00:03,0.014,0.986
2024-05-13 00:00:04,0.014,0.986
2024-05-14 00:00:03,0.014,0.986
2024-05-15 00:00:04,0.014,0.986
2024-05-16 00:00:04,0.014,0.986
2024-05-17 00:00:03,0.014,0.986
2024-05-18 00:00:03,0.014,0.986
2024-05-19 00:00:03,0.014,0.986
2024-05-20 00:00:03,0.014,0.986
2024-05-21 00:00:03,0.014,0.986
2024-05-22 00:00:03,0.014,0.986
2024-05-23 00:00:03,0.014,0.986
2024-05-24 00:00:03,0.014,0.986
2024-05-25 00:00:03,0.014,0.986
2024-05-26 00:00:03,0.014,0.986
2024-05-27 00:00:03,0.014,0.986
2024-05-28 00:00:03,0.014,0.986
2024-05-29 00:00:04,0.014,0.986
2024-05-30 00:00:03,0.0145,0.9855
2024-05-31 00:00:03,0.014,0.986
2024-06-01 00:00:03,0.014,0.986
2024-06-02 00:00:03,0.014,0.986
2024-06-03 00:00:03,0.014,0.986
2024-06-04 00:00:02,0.014,0.986
2024-06-05 00:00:02,0.014,0.986
2024-06-06 00:00:03,0.014,0.986
2024-06-07 00:00:02,0.0135,0.9865
2024-06-08 00:00:02,0.0135,0.9865
2024-06-09 00:00:03,0.0135,0.9865
2024-06-10 00:00:04,0.0135,0.9865
2024-06-11 00:00:02,0.0135,0.9865
2024-06-12 00:00:03,0.0135,0.9865
2024-06-13 00:00:03,0.0135,0.9865
2024-06-14 00:00:03,0.0135,0.9865
2024-06-15 00:00:04,0.0135,0.9865
2024-06-16 00:00:04,0.0135,0.9865
2024-06-17 00:00:04,0.014,0.986
2024-06-18 00:00:03,0.014,0.986
2024-06-19 00:00:03,0.014,0.986
2024-06-20 00:00:04,0.014,0.986
2024-06-21 00:00:03,0.014,0.986
2024-06-22 00:00:02,0.014,0.986
2024-06-23 00:00:03,0.014,0.986
2024-06-24 00:00:03,0.014,0.986
2024-06-25 00:00:03,0.014,0.986
2024-06-26 00:00:03,0.014,0.986
2024-06-27 00:00:02,0.014,0.986
2024-06-28 00:00:03,0.014,0.986
2024-06-29 00:00:02,0.014,0.986
2024-06-30 00:00:02,0.014,0.986
2024-07-01 00:00:02,0.014,0.986
2024-07-02 00:00:03,0.014,0.986
2024-07-03 00:00:02,0.014,0.986
2024-07-04 00:00:03,0.012,0.988
2024-07-05 00:00:02,0.012,0.988
2024-07-06 00:00:02,0.012,0.988
2024-07-07 00:00:02,0.012,0.988
2024-07-08 00:00:02,0.012,0.988
2024-07-09 00:00:02,0.012,0.988
2024-07-10 00:00:03,0.0115,0.9885
2024-07-11 00:00:03,0.0115,0.9885
2024-07-12 00:00:02,0.011,0.989
2024-07-13 00:00:03,0.011,0.989
2024-07-14 00:00:02,0.011,0.989
2024-07-15 00:00:03,0.011,0.989
2024-07-16 00:00:02,0.011,0.989
2024-07-17 00:00:01,0.009,0.991
2024-07-18 00:00:02,0.0085,0.9915
2024-07-19 00:00:01,0.0085,0.9915
2024-07-20 00:00:01,0.0085,0.9915
2024-07-21 00:00:01,0.0085,0.9915
2024-07-22 00:00:01,0.0085,0.9915
2024-07-23 00:00:01,0.008,0.992
2024-07-24 00:00:01,0.0085,0.9915
2024-07-25 00:00:01,0.0085,0.9915
2024-07-26 00:00:02,0.0085,0.9915
2024-07-27 00:00:02,0.009,0.991
2024-07-28 00:00:02,0.009,0.991
2024-07-29 00:00:02,0.0095,0.9905
2024-07-30 00:00:01,0.0095,0.9905
2024-07-31 00:00:02,0.0095,0.9905
2024-08-01 00:00:02,0.0105,0.9895
2024-08-02 00:00:01,0.01,0.99
2024-08-03 00:00:02,0.01,0.99
2024-08-04 00:00:01,0.0105,0.9895
2024-08-05 00:00:01,0.0105,0.9895
2024-08-06 00:00:01,0.0085,0.9915
2024-08-07 00:00:01,0.0085,0.9915
2024-08-08 00:00:01,0.005,0.995
