timestamp,yes,no
2025-02-20 00:00:04,0.17,0.83
2025-02-21 00:00:05,0.195,0.805
2025-02-22 00:00:05,0.195,0.805
2025-02-23 00:00:04,0.215,0.785
2025-02-24 00:00:04,0.23,0.77
2025-02-25 00:00:04,0.245,0.755
2025-02-26 00:00:05,0.6,0.4
2025-02-27 00:00:05,0.365,0.635
2025-02-28 00:00:05,0.44,0.56
2025-03-01 00:00:05,0.36,0.64
2025-03-02 00:00:05,0.33,0.67
2025-03-03 00:00:05,0.265,0.735
2025-03-04 00:00:05,0.26,0.74
2025-03-05 00:00:04,0.26,0.74
2025-03-06 00:00:05,0.26,0.74
2025-03-07 00:00:05,0.26,0.74
2025-03-08 00:00:05,0.26,0.74
2025-03-09 00:00:05,0.255,0.745
2025-03-10 00:00:04,0.255,0.745
2025-03-11 00:00:05,0.21,0.79
2025-03-12 00:00:05,0.205,0.795
2025-03-13 00:00:06,0.215,0.785
2025-03-14 00:00:05,0.21,0.79
2025-03-15 00:00:04,0.21,0.79
2025-03-16 00:00:04,0.205,0.795
2025-03-17 00:00:04,0.205,0.795
2025-03-18 00:00:05,0.205,0.795
2025-03-19 00:00:05,0.215,0.785
2025-03-20 00:00:05,0.215,0.785
2025-03-21 00:00:05,0.215,0.785
2025-03-22 00:00:06,0.215,0.785
2025-03-23 00:00:06,0.215,0.785
2025-03-24 00:00:05,0.185,0.815
2025-03-25 00:00:06,0.18,0.82
2025-03-26 00:00:05,0.18,0.82
2025-03-27 00:00:06,0.18,0.82
2025-03-28 00:00:06,0.185,0.815
2025-03-29 00:00:06,0.185,0.815
2025-03-30 00:00:06,0.185,0.815
2025-03-31 00:00:05,0.18,0.82
2025-04-01 00:00:05,0.18,0.82
2025-04-02 00:00:06,0.18,0.82
2025-04-03 00:00:05,0.175,0.825
2025-04-04 00:00:05,0.17,0.83
2025-04-05 00:00:05,0.17,0.83
2025-04-06 00:00:05,0.16,0.84
2025-04-07 00:00:06,0.155,0.845
2025-04-08 00:00:06,0.16,0.84
2025-04-09 00:00:06,0.155,0.845
2025-04-10 00:00:05,0.155,0.845
2025-04-11 00:00:05,0.155,0.845
2025-04-12 00:00:06,0.155,0.845
2025-04-13 00:00:05,0.155,0.845
2025-04-14 00:00:05,0.155,0.845
2025-04-15 00:00:05,0.155,0.845
2025-04-16 00:00:05,0.155,0.845
2025-04-17 00:00:06,0.155,0.845
2025-04-18 00:00:04,0.155,0.845
2025-04-19 00:00:06,0.155,0.845
2025-04-20 00:00:06,0.155,0.845
2025-04-21 00:00:06,0.155,0.845
2025-04-22 00:00:06,0.155,0.845
2025-04-23 00:00:07,0.155,0.845
2025-04-24 00:00:06,0.155,0.845
2025-04-25 00:00:06,0.155,0.845
2025-04-26 00:00:06,0.155,0.845
2025-04-27 00:00:05,0.155,0.845
2025-04-28 00:00:05,0.165,0.835
2025-04-29 00:00:05,0.165,0.835
2025-04-30 00:00:06,0.16,0.84
2025-05-01 00:00:06,0.16,0.84
