timestamp,yes,no
2025-09-30 00:00:12,0.2,0.8
2025-10-01 00:00:09,0.105,
2025-10-02 00:00:09,0.045,0.955
2025-10-03 00:00:03,0.045,
2025-10-04 00:00:07,0.04,
2025-10-05 00:00:05,0.04,
2025-10-06 00:00:04,0.04,0.96
2025-10-07 00:00:11,0.035,
2025-10-08 00:00:04,0.035,
2025-10-09 00:00:14,0.035,
2025-10-10 00:00:07,0.035,
2025-10-11 00:00:07,0.03,
2025-10-12 00:00:17,0.035,
2025-10-13 00:00:12,0.035,
2025-10-14 00:00:07,0.035,
2025-10-15 00:00:15,0.035,
2025-10-16 00:00:13,0.035,0.965
2025-10-17 00:00:14,0.035,
2025-10-18 00:00:08,0.035,
2025-10-19 00:00:19,0.0305,
2025-10-20 00:00:23,0.0305,
2025-10-21 00:00:14,0.0285,
2025-10-22 00:00:15,0.026,
2025-10-23 00:00:09,0.0245,0.9755
2025-10-23 12:02:05,0.023,0.977
