timestamp,yes,no
2025-09-30 00:00:08,0.35,
2025-10-01 00:00:04,0.19,
2025-10-02 00:00:02,0.1,
2025-10-03 00:00:08,0.085,
2025-10-04 00:00:08,0.075,
2025-10-05 00:00:05,0.075,
2025-10-06 00:00:05,0.075,
2025-10-07 00:00:08,0.07,
2025-10-08 00:00:15,0.07,
2025-10-09 00:00:07,0.07,
2025-10-10 00:00:14,0.07,
2025-10-11 00:00:03,0.065,
2025-10-12 00:00:17,0.07,
2025-10-13 00:00:15,0.07,
2025-10-14 00:00:05,0.07,
2025-10-15 00:00:04,0.07,
2025-10-16 00:00:18,0.07,
2025-10-17 00:00:12,0.065,
2025-10-18 00:00:08,0.065,
2025-10-19 00:00:18,0.065,
2025-10-20 00:00:08,0.06,
2025-10-21 00:00:17,0.055,
2025-10-22 00:00:16,0.055,
2025-10-23 00:00:09,0.055,
2025-10-23 12:02:05,0.055,
