timestamp,yes,no
2025-09-30 00:00:12,0.5,
2025-10-01 00:00:10,0.175,
2025-10-02 00:00:06,0.065,
2025-10-03 00:00:05,0.06,
2025-10-04 00:00:05,0.06,
2025-10-05 00:00:07,0.06,
2025-10-06 00:00:08,0.06,
2025-10-07 00:00:06,0.055,
2025-10-08 00:00:08,0.055,
2025-10-09 00:00:13,0.055,0.945
2025-10-10 00:00:14,0.055,
2025-10-11 00:00:16,0.05,
2025-10-12 00:00:19,0.055,0.945
2025-10-13 00:00:05,0.05,
2025-10-14 00:00:11,0.05,
2025-10-15 00:00:07,0.05,
2025-10-16 00:00:17,0.045,
2025-10-17 00:00:07,0.045,
2025-10-18 00:00:21,0.045,
2025-10-19 00:00:10,0.045,
2025-10-20 00:00:06,0.045,
2025-10-21 00:00:17,0.04,
2025-10-22 00:00:13,0.0355,
2025-10-23 00:00:08,0.035,
2025-10-23 12:02:05,0.035,
